unit,n_cycles,rmse,nasa_score
2.0,75,11.07090000701533,156.83484425778403
5.0,89,15.463888618206258,257.2268759226366
10.0,82,11.84371457056871,138.04176653992317
16.0,63,10.661242973762743,113.71719508075492
18.0,71,10.362004977597806,120.71925301137962
20.0,66,16.558436633042046,376.2544464233912
